Fecha,Efectivo Inicial,Efectivo Final
2024-11-02,20956.9,6677.9
2024-11-03,11263.1,6835.1
2024-11-04,21031.0,6140.0
2024-11-05,19082.2,6992.2
2024-11-03,6835.1,2916.1
