folio,efectivo,tarjeta,total,facturado
5724,20.0,0.0,20.0,False
5725,6.0,0.0,6.0,False
5726,0.0,57.0,57.0,True
5727,6.0,0.0,6.0,False
5728,6.0,0.0,6.0,False
5729,0.0,473.0,430.0,True
5730,73.0,0.0,73.0,False
5731,75.0,0.0,75.0,False
5732,54.0,0.0,54.0,False
5733,103.0,0.0,103.0,False
5738,20.0,0.0,20.0,False
5734,410.0,0.0,410.0,True
5735,80.0,0.0,80.0,False
5736,6.0,0.0,6.0,False
5737,20.0,0.0,20.0,False
5739,0.0,530.0,480.0,True
5740,26.0,0.0,26.0,False
5741,6.0,0.0,6.0,False
5743,6.0,0.0,6.0,False
5742,0.0,429.0,390.0,True
5744,0.0,407.0,370.0,True
5745,0.0,442.2,402.0,True
5746,6.0,0.0,6.0,False
5747,0.0,314.6,286.0,True
5749,80.0,0.0,80.0,False
5750,672.0,190.3,845.0,True
5748,0.0,298.1,271.0,True
5752,40.0,0.0,40.0,False
5751,6.0,0.0,6.0,False
5753,80.0,0.0,80.0,False
5754,80.0,0.0,80.0,False
5755,133.0,273.0,406.0,True
5756,0.0,116.0,105.0,True
5757,0.0,165.0,150.0,True
5758,0.0,198.0,180.0,True
5759,80.0,0.0,80.0,False
5760,0.0,165.0,150.0,True
5761,0.0,919.0,919.0,True
5762,120.0,0.0,120.0,False
5763,0.0,62.0,62.0,True
5764,40.0,0.0,40.0,False
5765,0.0,124.0,124.0,True
5766,70.0,0.0,70.0,False
5767,0.0,311.85,297.0,True
5768,80.0,0.0,80.0,False
5769,194.0,209.0,403.0,True
5770,0.0,65.0,65.0,True
5772,80.0,0.0,80.0,False
5771,40.0,0.0,40.0,False
5773,0.0,465.3,423.0,True
5774,0.0,497.0,497.0,True
5775,0.0,325.6,296.0,True
5778,0.0,323.4,294.0,True
5776,0.0,425.25,405.0,True
5777,0.0,396.0,360.0,True
5779,80.0,0.0,80.0,False
5781,120.0,0.0,120.0,False
5780,108.0,0.0,108.0,False
5783,704.0,0.0,704.0,False
5782,0.0,48.0,48.0,True
5785,0.0,242.0,242.0,True
5784,40.0,0.0,40.0,False
5786,80.0,0.0,80.0,False
5787,80.0,0.0,80.0,False
5788,0.0,462.0,420.0,True
5789,80.0,0.0,80.0,False
5790,119.0,0.0,119.0,False
5791,437.0,0.0,437.0,False
5792,80.0,0.0,80.0,False
5793,80.0,0.0,80.0,False
5794,40.0,0.0,40.0,False
5795,80.0,0.0,80.0,False
5796,77.0,0.0,77.0,False
5797,0.0,302.0,302.0,True
5798,80.0,0.0,80.0,False
5799,6.0,0.0,6.0,False
5800,256.0,0.0,256.0,False
5801,877.0,485.1,1318.0,True
5802,0.0,374.0,374.0,True
5803,0.0,194.7,177.0,True
5804,0.0,365.0,330.0,True
5805,40.0,0.0,40.0,False
5806,0.0,317.0,317.0,True
5807,0.0,315.7,287.0,True
5808,80.0,0.0,80.0,False
5809,31.5,0.0,31.5,False
5810,0.0,356.0,356.0,True
5811,0.0,404.8,368.0,True
5812,0.0,458.7,417.0,True
5813,0.0,558.5,507.0,True
5814,0.0,249.7,227.0,True
5815,0.0,1000.0,979.0,True
5816,504.0,79.0,583.0,True
5817,82.0,0.0,82.0,False
5818,0.0,269.0,269.0,True
5819,48.0,0.0,48.0,False
5820,0.0,784.0,784.0,True
5821,80.0,0.0,80.0,False
5822,148.0,0.0,148.0,False
5823,80.0,0.0,80.0,False
5824,0.0,462.0,420.0,True
5825,0.0,387.2,352.0,True
5826,20.0,0.0,20.0,False
5827,40.0,0.0,40.0,False
5828,0.0,48.0,48.0,True
5829,57.0,0.0,57.0,False
5830,0.0,75.0,75.0,True
5831,0.8,369.6,336.8,True
5832,0.0,541.2,492.0,True
5833,48.0,0.0,48.0,False
5834,68.0,0.0,68.0,False
5835,80.0,0.0,80.0,False
5836,0.0,166.0,166.0,True
5837,0.0,158.4,144.0,True
5838,40.0,0.0,40.0,False
5839,40.0,0.0,40.0,False
5840,0.0,203.5,185.0,True
5841,20.0,0.0,20.0,False
5842,80.0,0.0,80.0,False
5844,80.0,0.0,80.0,False
5843,40.0,0.0,40.0,False
5845,0.0,52.5,52.5,True
5846,41.0,0.0,41.0,False
5848,6.0,0.0,6.0,False
5849,265.0,0.0,265.0,False
5847,0.0,172.0,147.0,True
5850,0.0,592.9,539.0,True
5851,55.3,0.0,55.3,False
5852,6.0,0.0,6.0,False
5853,0.0,752.1,654.0,True
5854,80.0,0.0,80.0,False
5855,80.0,0.0,80.0,False
5856,80.0,0.0,80.0,False
5857,50.0,0.0,50.0,False
5858,0.0,982.3,893.0,True
5860,0.0,290.4,264.0,True
5859,0.0,127.0,127.0,True
5861,0.0,228.0,228.0,True
5862,0.0,441.1,401.0,True
5863,0.0,460.9,419.0,True
5864,0.0,438.0,418.0,True
5865,0.0,770.0,700.0,True
5866,0.0,228.8,208.0,True
5867,20.0,0.0,20.0,False
5868,40.0,0.0,40.0,False
5869,0.0,1193.5,1085.0,True
5870,0.0,397.0,397.0,True
5871,282.0,0.0,282.0,False
5874,80.0,0.0,80.0,False
5872,40.0,0.0,40.0,False
5873,80.0,0.0,80.0,False
5875,0.0,1002.1,911.0,True
5876,0.0,289.8,252.0,True
5879,40.0,445.4,454.0,True
5883,0.0,130.0,130.0,True
5877,0.0,558.8,508.0,True
5878,0.0,444.0,444.0,True
5880,0.0,162.8,148.0,True
5881,0.0,1013.0,1013.0,True
5882,0.0,631.4,574.0,True
5885,0.0,473.0,473.0,True
5884,0.0,200.0,128.0,True
5886,45.5,0.0,45.5,False
5887,49.0,0.0,49.0,False
5891,40.0,0.0,40.0,False
5888,84.0,0.0,84.0,False
5892,80.0,0.0,80.0,False
5889,40.0,0.0,40.0,False
5890,364.0,0.0,364.0,False
5893,80.0,0.0,80.0,False
5894,0.0,1242.0,1242.0,True
5895,40.0,0.0,40.0,False
5896,40.0,0.0,40.0,False
5938,0.0,722.7,657.0,True
5939,0.0,691.9,629.0,True
5940,0.0,165.0,150.0,True
5942,492.0,0.0,492.0,False
5897,0.0,334.4,304.0,True
5898,80.0,0.0,80.0,False
5899,80.0,0.0,80.0,False
5900,40.0,0.0,40.0,False
5901,0.0,532.4,484.0,True
5902,40.0,0.0,40.0,False
5903,80.0,0.0,80.0,False
5904,40.0,0.0,40.0,False
5905,0.0,283.8,258.0,True
5906,0.0,259.6,236.0,True
5907,0.0,749.0,629.0,True
5908,0.0,312.4,284.0,True
5909,40.0,0.0,40.0,False
