folio,efectivo,tarjeta,total,facturado
4958,80.0,0.0,80.0,False
4959,80.0,0.0,80.0,False
4960,80.0,0.0,80.0,True
4963,80.0,0.0,80.0,True
4961,0.0,286.0,286.0,True
4962,0.0,681.0,619.0,True
4964,0.0,661.0,661.0,True
4965,40.0,0.0,40.0,False
4966,82.0,0.0,82.0,False
4967,0.0,608.3,553.0,True
4968,0.0,795.3,723.0,True
4969,80.0,0.0,80.0,False
4970,0.0,326.7,297.0,True
4973,0.0,189.75,165.0,True
4971,0.0,209.0,190.0,True
4972,0.0,431.2,392.0,True
4974,0.0,417.0,379.0,True
4975,50.0,0.0,50.0,False
4976,40.0,0.0,40.0,False
4977,6.0,0.0,6.0,False
4978,6.0,0.0,6.0,False
4979,22.0,0.0,22.0,False
4980,6.0,0.0,6.0,False
4981,6.0,0.0,6.0,False
4983,0.0,369.6,336.0,True
4982,0.0,401.0,401.0,True
4984,0.0,466.4,424.0,True
4986,0.0,526.9,479.0,True
4985,304.0,0.0,304.0,False
4987,6.0,0.0,6.0,False
4988,0.0,888.8,808.0,True
4989,40.0,0.0,40.0,False
4990,0.0,441.1,401.0,True
4991,40.0,0.0,40.0,False
4992,40.0,0.0,40.0,False
4993,6.0,0.0,6.0,False
4994,40.0,0.0,40.0,False
4995,0.0,657.0,657.0,True
4996,40.0,0.0,40.0,False
4999,80.0,0.0,80.0,False
4997,0.0,435.0,435.0,True
4998,0.0,145.2,132.0,True
5000,0.0,1471.0,1471.0,True
5001,0.0,333.0,303.0,True
5002,40.0,0.0,40.0,False
5005,0.0,488.4,444.0,True
5003,0.0,471.0,428.0,True
5004,159.0,0.0,159.0,False
5006,0.0,160.0,160.0,True
5007,0.0,568.0,568.0,True
5008,368.0,0.0,368.0,True
5009,0.0,298.0,271.0,True
5010,0.0,403.0,403.0,True
5011,40.0,0.0,40.0,False
5012,87.0,300.0,387.0,True
5013,40.0,0.0,40.0,False
5014,308.0,0.0,308.0,False
5015,248.0,0.0,248.0,False
5016,340.0,0.0,340.0,False
5017,0.0,664.0,604.0,True
5018,80.0,0.0,80.0,False
5021,238.0,0.0,238.0,False
5023,115.0,0.0,115.0,False
5019,0.0,744.7,677.0,True
5020,0.0,433.4,394.0,True
5022,0.0,292.0,292.0,True
5025,40.0,0.0,40.0,False
5024,0.0,890.0,890.0,True
5026,75.6,0.0,75.6,False
5027,0.0,179.3,163.0,True
5028,0.0,452.0,411.0,True
5029,0.0,172.0,172.0,True
5030,40.0,0.0,40.0,False
5031,0.0,78.75,75.0,True
5032,0.0,800.3,773.0,True
5033,0.0,665.0,605.0,True
5034,0.0,250.0,250.0,True
5035,0.0,369.6,336.0,True
5036,0.0,172.0,156.0,True
5037,40.0,0.0,40.0,False
5039,40.0,0.0,40.0,False
5038,0.0,185.0,168.0,True
5040,38.6,0.0,38.6,False
5041,0.0,388.0,381.0,True
5042,0.0,396.0,360.0,True
5043,219.0,0.0,219.0,False
5044,0.0,775.5,705.0,True
5045,160.0,0.0,160.0,False
5046,40.0,0.0,40.0,False
5048,0.0,540.0,540.0,True
5047,0.0,114.0,114.0,True
5049,40.0,0.0,40.0,False
5050,72.0,0.0,72.0,False
5051,0.0,281.6,256.0,True
5052,80.0,0.0,80.0,False
5053,40.0,0.0,40.0,False
5054,0.0,423.5,385.0,True
5055,40.0,0.0,40.0,False
5056,40.0,0.0,40.0,False
5057,35.0,0.0,35.0,False
5058,36.0,0.0,36.0,False
